Class,Sex,Sport,Job,HeartDisease,OwlOrLark,Milk,WakeUpTime,Region,SleepTime
Coffee,M,1,1,0,Owl,1,05.шўэ,UVAO,07.рту
Tea,M,1,0,0,Owl,0,8+,VAO,07.рту
Tea,M,0,0,0,Owl,0,8+,UAO,07.рту
Tea,F,0,1,0,Owl,1,8+,UAO,8+
Tea,M,1,1,0,Owl,0,07.рту,UAO,03.шўэ
Coffee,M,1,1,1,Lark,0,05.шўэ,SZAO,3-
Coffee,F,0,0,0,Owl,0,8+,VAO,07.рту
Tea,M,0,0,0,Owl,1,8+,UVAO,07.рту
Tea,M,0,0,0,Owl,0,07.рту,SVAO,07.рту
Tea,M,1,0,0,Owl,1,8+,UVAO,07.рту
Tea,F,0,1,0,Owl,1,8+,UAO,8+
Coffee,M,1,1,0,Owl,1,07.рту,UVAO,07.рту
Coffee,M,1,0,0,Owl,1,8+,UVAO,07.рту
Tea,M,0,1,0,Lark,1,06.шўы,VAO,03.шўэ
Coffee,F,1,1,1,Lark,1,07.рту,SVAO,07.рту
Tea,M,1,1,0,Owl,1,07.рту,SVAO,07.рту
Coffee,M,0,0,0,Owl,1,8+,UAO,8+
Coffee,M,1,0,1,Owl,1,8+,SAO,07.рту
Tea,M,1,0,0,Owl,0,8+,VAO,07.рту
Tea,M,1,1,0,Lark,1,8+,UAO,07.рту
Tea,F,1,1,0,Owl,1,8+,VAO,8+
Coffee,M,0,0,0,Owl,1,8+,UAO,8+
Tea,M,0,0,0,Owl,0,8+,UAO,07.рту
Coffee,M,1,0,0,Owl,1,8+,UVAO,03.шўэ
Tea,M,1,0,0,Owl,1,8+,VAO,8+
Tea,M,1,1,0,Owl,1,8+,UAO,8+
Tea,M,1,1,1,Lark,0,8+,UVAO,07.рту
Tea,M,0,0,0,Owl,0,07.рту,SZAO,07.рту
Tea,M,1,1,0,Owl,1,07.рту,R,07.рту
Tea,M,1,1,0,Owl,0,07.рту,UAO,07.рту
Tea,M,1,0,1,Owl,1,8+,UZAO,8+
Coffee,M,1,0,0,Owl,1,8+,CAO,8+
Tea,M,0,1,1,Owl,1,8+,R,07.рту
Tea,F,1,1,0,Owl,1,8+,UZAO,8+
Tea,M,0,1,0,Owl,1,8+,SVAO,07.рту
Tea,M,0,0,0,Owl,1,8+,UAO,03.шўэ
Tea,M,1,0,0,Owl,1,07.рту,CAO,07.рту
Tea,M,1,1,1,Owl,1,07.рту,UVAO,07.рту
Coffee,M,1,1,0,Owl,1,07.рту,R,07.рту
